,ts_date,220220_5Min,220220_10Min,220220_10Min_f,time,diff,zcore-5,mean
0,2023-01-13 08:20:00,,,,08:20:00,,,
1,2023-01-13 08:25:00,,,,08:25:00,,,
2,2023-01-13 08:30:00,,3.0025,3.0025,08:30:00,,,
3,2023-01-13 08:35:00,3.0025,,3.0025,08:35:00,0.0,,
4,2023-01-13 08:40:00,3.0024999999999995,3.0024999999999995,3.0024999999999995,08:40:00,0.0,,
5,2023-01-13 08:45:00,3.0025,,3.0024999999999995,08:45:00,4.440892098500626e-16,,
6,2023-01-13 08:50:00,3.000569029850746,3.0002495908346973,3.0002495908346973,08:50:00,0.0003194390160485838,,
7,2023-01-13 08:55:00,3.0,,3.0002495908346973,08:55:00,-0.000249590834697333,,
8,2023-01-13 09:00:00,3.0,3.0,3.0,09:00:00,0.0,-0.0772850967167215,1.396963627033898e-05
9,2023-01-13 09:05:00,3.0,,3.0,09:05:00,0.0,-0.0772850967167215,1.396963627033898e-05
10,2023-01-13 09:10:00,2.998001694915254,2.9977919937205653,2.9977919937205653,09:10:00,0.0002097011946888827,1.0828580021808047,1.396963627033898e-05
11,2023-01-13 09:15:00,2.997611111111111,,2.9977919937205653,09:15:00,-0.00018088260945425816,-1.206236505714544,5.590987520802671e-05
12,2023-01-13 09:20:00,2.996105263157895,2.997193518518519,2.997193518518519,09:20:00,-0.0010882553606239576,-6.494234483867403,-4.415444989254169e-05
13,2023-01-13 09:25:00,2.9974847417840382,,2.997193518518519,09:25:00,0.00029122326551922484,1.1049977853567585,-0.0002118873550778666
14,2023-01-13 09:30:00,2.999120056497175,2.9988528072837637,2.9988528072837637,09:30:00,0.00026724921341125807,0.8493691258191394,-0.00015364270197402164
15,2023-01-13 09:35:00,2.9985426229508194,,2.9988528072837637,09:35:00,-0.0003101843329442744,-0.4016032103970159,-0.00010019285929177001
16,2023-01-13 09:40:00,3.000018481848185,3.000867330016584,3.000867330016584,09:40:00,-0.000848848168398586,-1.2837006457936782,-0.00020416996481840144
17,2023-01-13 09:45:00,3.001724666666667,,3.000867330016584,09:45:00,0.0008573366500832513,2.121379408391519,-0.000337763076607267
18,2023-01-13 09:50:00,3.004435,3.0059761666666662,3.0059761666666662,09:50:00,-0.0015411666666662605,-2.735315180080533,5.135532553417477e-05
19,2023-01-13 09:55:00,3.007517333333333,,3.0059761666666662,09:55:00,0.0015411666666667045,2.218091610321483,-0.00031512266090292227
20,2023-01-13 10:00:00,3.010593639575972,3.0114438333333338,3.0114438333333338,10:00:00,-0.00085019375736195,-0.7045553721467227,-6.0339170251832996e-05
21,2023-01-13 10:05:00,3.012202839116719,,3.0114438333333338,10:05:00,0.0007590057833852804,0.7959490092470657,-0.00016834105513536813
22,2023-01-13 10:10:00,3.012139730639731,3.0120949999999995,3.0120949999999995,10:10:00,4.47306397313163e-05,-0.09396106113383777,0.00015322973522140514
23,2023-01-13 10:15:00,3.0120511551155116,,3.0120949999999995,10:15:00,-4.384488448794244e-05,-0.03140991937630567,-9.291466848981856e-06
24,2023-01-13 10:20:00,3.012537966101695,3.012588047138047,3.012588047138047,10:20:00,-5.0081036351734554e-05,-0.42157698744439986,0.00029017288958668177
25,2023-01-13 10:25:00,3.01263745819398,,3.012588047138047,10:25:00,4.9411055933035186e-05,0.15188360756938132,-2.807665101700607e-05
26,2023-01-13 10:30:00,3.0144863999999996,3.0147478260869565,3.0147478260869565,10:30:00,-0.0002614260869568952,-1.3483998548137892,0.00015184431164199096
27,2023-01-13 10:35:00,3.0149642384105957,,3.0147478260869565,10:35:00,0.0002164123236392257,2.3826055436062266,-5.224206242644413e-05
28,2023-01-13 10:40:00,3.0098072674418614,3.009379538461538,3.009379538461538,10:40:00,0.0004277289803233941,2.871219915968209,-1.7905725644862258e-05
29,2023-01-13 10:45:00,3.0088986928104573,,3.009379538461538,10:45:00,-0.0004808456510807524,-2.3809615311635977,7.640904731740506e-05
30,2023-01-13 10:50:00,3.01246024590164,3.0125900000000008,3.0125900000000008,10:50:00,-0.00012975409836091245,-0.36815402698311367,-9.743875628398512e-06
31,2023-01-13 10:55:00,3.0127047101449276,,3.0125900000000008,10:55:00,0.00011471014492681064,0.48964934811076877,-4.557690648718804e-05
32,2023-01-13 11:00:00,3.012694960212202,3.010973684210527,3.010973684210527,11:00:00,0.0017212760016751538,5.422558188325362,2.9650339889553123e-05
33,2023-01-13 11:05:00,3.00885993485342,,3.010973684210527,11:05:00,-0.00211374935710662,-3.2317636418951987,0.00033062307549673874
34,2023-01-13 11:10:00,3.0096247491638795,3.0108411371237462,3.0108411371237462,11:10:00,-0.0012163879598667826,-0.8461862474213807,-0.00017767259198926412
35,2023-01-13 11:15:00,3.012057525083612,,3.0108411371237462,11:15:00,0.0012163879598658944,1.1881251848984784,-0.00032478105374647017
36,2023-01-13 11:20:00,3.002339130434783,3.0008143094841935,3.0008143094841935,11:20:00,0.0015248209505895893,1.0964428862552624,-5.5552642101108773e-05
37,2023-01-13 11:25:00,2.9993046357615896,,3.0008143094841935,11:25:00,-0.0015096737226039103,-1.0998578824910104,0.00022646951903144698
38,2023-01-13 11:30:00,3.014100628930817,3.0024179229480734,3.0024179229480734,11:30:00,0.01168270598274379,8.104201295216512,-0.00041972042582436584
39,2023-01-13 11:35:00,2.9981769406392687,,3.0024179229480734,11:35:00,-0.004240982308804764,-1.362219869754334,0.0023395706421457164
40,2023-01-13 11:40:00,3.0116954732510286,3.0002689393939397,3.0002689393939397,11:40:00,0.011426533857088916,1.796578988721593,0.00173465177235812
