ts_date,Column6,create_time,Column8,Column10,Column12,Column15,Column16,Column17,price,Column22,ts_lag,twap_roll_5,twap_roll_10,time,diff,diff2,zcore-5,mean,2zcore-5
2022-12-27 08:26:43,"company_id:""1""",2022-12-27 08:26:43,"deal_status:""0""","full_price:""100.9217""","id:""TPSHe1057212925271486466""","net_price:""99.5998""","operate:""0""","pre_closePrice:""99.661""",3.0075,"volume:""2000""",0,,,08:26:43,,,,,
2022-12-27 08:27:00,"company_id:""1""",2022-12-27 08:27:00,"deal_status:""0""","full_price:""100.9217""","id:""TPSHe1057212996201361412""","net_price:""99.5998""","operate:""0""","pre_closePrice:""99.661""",3.0075,"volume:""4000""",17,3.0075,3.0075,08:27:00,0.0,0.0,,,
2022-12-27 08:27:00,"company_id:""1""",2022-12-27 08:27:00,"deal_status:""8""","full_price:""100.9217""","id:""TPSHe1057212996201361412""","net_price:""99.5998""","operate:""0""","pre_closePrice:""99.661""",3.0075,"volume:""4000""",0,3.0075,3.0075,08:27:00,0.0,0.0,,,
2022-12-27 08:29:35,"company_id:""1""",2022-12-27 08:29:35,"deal_status:""0""","full_price:""100.9626""","id:""TPSHe1057213646716940292""","net_price:""99.6407""","operate:""0""","pre_closePrice:""99.661""",3.0025,"volume:""2000""",155,3.0029941860465117,3.0029941860465117,08:29:35,-0.0004941860465117465,0.0,,,
2022-12-27 08:29:36,"company_id:""1""",2022-12-27 08:29:36,"deal_status:""0""","full_price:""100.9626""","id:""TPSHe1057213649413877764""","net_price:""99.6407""","operate:""0""","pre_closePrice:""99.661""",3.0025,"volume:""3000""",1,3.002991329479769,3.002991329479769,08:29:36,-0.0004913294797690426,0.0,,,
2022-12-27 09:12:14,"company_id:""1""",2022-12-27 09:12:14,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057224378833580033""","net_price:""99.5793""","operate:""0""","pre_closePrice:""99.661""",3.01,"volume:""1000""",2558,3.01,3.01,09:12:14,0.0,0.0,,,
2022-12-27 09:14:42,"company_id:""1""",2022-12-27 09:14:42,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057225002182651905""","net_price:""99.5793""","operate:""1""","pre_closePrice:""99.661""",3.01,"volume:""5000""",148,3.0099999999999993,3.0099999999999993,09:14:42,4.440892098500626e-16,0.0,0.8164908644273874,0.0,
2022-12-27 09:15:53,"company_id:""1""",2022-12-27 09:15:53,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057225296966725636""","net_price:""99.5793""","operate:""1""","pre_closePrice:""99.661""",3.01,"volume:""5000""",71,3.0099999999999993,3.0099999999999993,09:15:53,4.440892098500626e-16,0.0,0.8164908644267743,0.0,
2022-12-27 09:20:04,"company_id:""1""",2022-12-27 09:20:04,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057226352777900033""","net_price:""99.5793""","operate:""1""","pre_closePrice:""99.661""",3.01,"volume:""2000""",251,3.0100000000000002,3.01,09:20:04,-4.440892098500626e-16,4.440892098500626e-16,0.8164908644224819,0.0,
2022-12-27 09:20:25,"company_id:""1""",2022-12-27 09:20:25,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057226439054733318""","net_price:""99.5793""","operate:""1""","pre_closePrice:""99.661""",3.01,"volume:""1000""",21,3.0099999999999993,3.01,09:20:25,4.440892098500626e-16,-4.440892098500626e-16,0.5000000000016946,8.881784197001253e-17,-2.9999999999999996
2022-12-27 09:20:31,"company_id:""1""",2022-12-27 09:20:31,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057226465424322561""","net_price:""99.5793""","operate:""1""","pre_closePrice:""99.661""",3.01,"volume:""2000""",6,3.0100000000000002,3.01,09:20:31,-4.440892098500626e-16,4.440892098500626e-16,-0.00019107026158909636,0.0,1.5811388300841895
2022-12-27 09:20:53,,2022-12-27 09:20:53,,,"id:""220215_118006568_20221227-09:20:""","net_price:""99.5801""",,,3.0099,,22,3.0099926666666663,3.0099992850178743,09:20:53,-9.266666666629675e-05,-6.6183512079653894e-06,-28478583.31654059,8.881784197001253e-17,-19915241397.943104
2022-12-27 09:21:00,"company_id:""1""",2022-12-27 09:21:00,"deal_status:""0""","full_price:""100.893""","id:""TPSHe1057226586249637892""","net_price:""99.5792""","operate:""1""","pre_closePrice:""99.661""",3.01,"volume:""2000""",7,3.0099928338762214,3.009999286640726,09:21:00,7.16612377837933e-06,-6.452764504505382e-06,0.6933306774750316,-1.32367024150426e-06,-1.93745167857746
2022-12-27 09:21:39,"company_id:""1""",2022-12-27 09:21:39,"deal_status:""0""","full_price:""100.9012""","id:""TPSHe1057226749638750209""","net_price:""99.5793""","operate:""0""","pre_closePrice:""99.661""",3.01,"volume:""2000""",39,3.0099936416184967,3.009999295549151,09:21:39,6.358381503090982e-06,-5.653930654325734e-06,0.619201305477385,-2.6142231424053364e-06,-0.9492605657463554
