,ts_date,time,220215,220220,diff-220115,diff2,zcore2-5,mean2
1,2023-01-10 08:55:00,08:55:00,3.015,2.9625,,0.05250000000000021,,
2,2023-01-10 09:00:00,09:00:00,3.015,2.9525,0.0,0.0625,,
3,2023-01-10 09:05:00,09:05:00,3.015,2.9625636363636363,0.0,0.052436363636363836,,
4,2023-01-10 09:10:00,09:10:00,3.015,2.9624999999999995,0.0,0.05250000000000066,,
5,2023-01-10 09:15:00,09:15:00,3.015,2.9607456260720415,0.0,0.05425437392795862,,
6,2023-01-10 09:20:00,09:20:00,3.0141521394611726,2.9621955645161298,-0.0008478605388275717,0.0519565749450428,-0.7403400551757625,0.054838147512864664
7,2023-01-10 09:25:00,09:25:00,3.0141521394611726,2.9625,0.0,0.05165213946117264,-0.7765242491902639,0.05472946250187318
8,2023-01-10 09:30:00,09:30:00,3.0141521394611726,2.962685501066098,0.0,0.05146663839507459,-1.2105290179130757,0.05255989039410771
9,2023-01-10 09:35:00,09:35:00,3.015,2.963087261146497,0.0008478605388275717,0.051912738853503004,-0.45006745666525366,0.05236594534584986
10,2023-01-10 09:40:00,09:40:00,3.015,2.9624999999999995,0.0,0.05250000000000066,0.24689739115533973,0.05224849311655033
11,2023-01-10 09:45:00,09:45:00,3.015,2.962495221843003,0.0,0.052504778156996945,1.7346407366589212,0.05189761833095874
12,2023-01-10 09:50:00,09:50:00,3.0141701346389227,2.964061736334405,-0.0008298653610774309,0.05010839830451763,-4.43244596975459,0.05200725897334957
13,2023-01-10 09:55:00,09:55:00,3.017107508532424,2.965113666666667,0.0029373738935012383,0.05199384186575706,0.33351833430228583,0.05169851074201857
14,2023-01-10 10:00:00,10:00:00,3.0158252427184467,2.9642422857142856,-0.0012822658139772791,0.051582957004161045,-0.2502771346457594,0.05180395143615506
15,2023-01-10 10:05:00,10:05:00,3.0175,2.964554716981132,0.0016747572815534184,0.05294528301886814,1.3645918676958206,0.051737995066286666
16,2023-01-10 10:10:00,10:10:00,3.0175,2.9648232558139536,0.0,0.05267674418604651,0.8716812474422039,0.051827051670060166
