ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_1Min,twap_roll_10,time,diff,zcore-5,mean
2023-01-12 08:20:58,2023-01-12 08:20:58,TPSHe1063009686133059588,0.029925,2.9925,1,2.9925,2.9925,08:20:58,0.0,,
2023-01-12 08:26:16,2023-01-12 08:26:16,ICAP2202207000589006,0.0299,2.99,318,2.99,2.990007836990596,08:26:16,0.0,,
2023-01-12 08:29:18,2023-01-12 08:29:18,PATRe1063011783198928898,0.029875,2.9875,182,2.9875000000000003,2.9890968063872254,08:29:18,-4.440892098500626e-16,,
2023-01-12 08:29:52,2023-01-12 08:29:52,UEDA230112061024000000000001,0.029875,2.9875,34,2.9875,2.9889953271028036,08:29:52,0.0,,
2023-01-12 08:33:58,2023-01-12 08:33:58,ICAP2202207000589007,0.029875,2.9875,246,2.9875,2.988519230769231,08:33:58,0.0,,
2023-01-12 08:35:56,2023-01-12 08:35:56,TPSHe1063013451875659777,0.029875,2.9875,118,2.9875,2.9883853006681513,08:35:56,0.0,0.5,-8.881784197001253e-17
2023-01-12 08:36:21,2023-01-12 08:36:21,UEDA230112061024000000000002,0.029875,2.9875,25,2.9875,2.9875,08:36:21,0.0,0.5,-8.881784197001253e-17
2023-01-12 08:36:51,2023-01-12 08:36:51,BGC22022011009424319,0.029875,2.9875,30,2.9875,2.9875,08:36:51,0.0,0.5,-8.881784197001253e-17
2023-01-12 08:38:32,2023-01-12 08:38:32,ICAP2202207000589009,0.029875,2.9875,101,2.9874999999999994,2.9875,08:38:32,4.440892098500626e-16,inf,0.0
2023-01-12 08:38:32,2023-01-12 08:38:32,ICAP2202207000589010,0.029875,2.9875,0,2.9874999999999994,2.9875,08:38:32,4.440892098500626e-16,2.0,8.881784197001253e-17
2023-01-12 08:38:32,2023-01-12 08:38:32,ICAP2202207000589012,0.029875,2.9875,0,2.9874999999999994,2.9875,08:38:32,4.440892098500626e-16,1.224744871391589,1.7763568394002506e-16
2023-01-12 08:38:32,2023-01-12 08:38:32,ICAP2202207000589011,0.029875,2.9875,0,2.9874999999999994,2.9875,08:38:32,4.440892098500626e-16,0.816496580927726,2.6645352591003756e-16
2023-01-12 08:38:33,2023-01-12 08:38:33,ICAP2202207000589013,0.029875,2.9875,1,2.9875,2.9875,08:38:33,0.0,-1.9999999999999998,3.552713678800501e-16
2023-01-12 08:38:38,2023-01-12 08:38:38,TPSHe1063014129058623489,0.029875,2.9875,5,2.9875,2.9875,08:38:38,0.0,-1.9999999999999998,3.552713678800501e-16
2023-01-12 08:38:38,2023-01-12 08:38:38,BGC22022011009424356,0.029875,2.9875,0,2.9875,2.9875,08:38:38,0.0,-1.224744871391589,2.6645352591003756e-16
2023-01-12 08:38:40,2023-01-12 08:38:40,PATRe1063014138082521089,0.029875,2.9875,2,2.9874999999999994,2.9875,08:38:40,4.440892098500626e-16,1.224744871391589,1.7763568394002506e-16
2023-01-12 08:38:44,2023-01-12 08:38:44,TJXT230112052024000000000001,0.029875,2.9875,4,2.9875,2.9874999999999994,08:38:44,0.0,-0.816496580927726,1.7763568394002506e-16
2023-01-12 08:38:51,2023-01-12 08:38:51,UEDAe1063014183076130817,0.029875,2.9875,7,2.9874999999999994,2.9875,08:38:51,4.440892098500626e-16,1.9999999999999998,8.881784197001253e-17
2023-01-12 08:38:52,2023-01-12 08:38:52,UEDAe1063014188662943745,0.029875,2.9875,1,2.9875,2.9875,08:38:52,0.0,-0.816496580927726,1.7763568394002506e-16
2023-01-12 08:39:25,2023-01-12 08:39:25,UEDAe1063014329008549890,0.029875,2.9875,33,2.9874999999999994,2.9875,08:39:25,4.440892098500626e-16,1.224744871391589,1.7763568394002506e-16
2023-01-12 08:39:37,2023-01-12 08:39:37,PATRe1063014377115906052,0.029875,2.9875,12,2.9875,2.9875,08:39:37,0.0,-1.224744871391589,2.6645352591003756e-16
2023-01-12 08:39:37,2023-01-12 08:39:37,PATRe1063014377132683265,0.029875,2.9875,0,2.9875,2.9875,08:39:37,0.0,-0.816496580927726,1.7763568394002506e-16
2023-01-12 08:39:40,2023-01-12 08:39:40,TPSHe1063014388191113220,0.029875,2.9875,3,2.9874999999999994,2.9875,08:39:40,4.440892098500626e-16,1.224744871391589,1.7763568394002506e-16
2023-01-12 08:40:57,2023-01-12 08:40:57,TPSHe1063014711794249729,0.0299,2.99,77,2.99,2.9877894736842103,08:40:57,0.0,-0.816496580927726,1.7763568394002506e-16
