ts_date,create_time,Id,Yield,price,ts_lag,twap_roll_5Min,twap_roll_10,time,diff,zcore-10,mean,zcore2-10-15
2023-01-12 09:53:43,2023-01-12 09:53:43,PATRe1063033025503195137,0.0299,2.99,0,2.9900025974025968,2.988585833333333,09:53:43,-2.597402596560272e-06,0.014888358198061459,-1.9244935653395244e-05,-0.034792734211068474
2023-01-12 09:54:59,2023-01-12 09:54:59,220220_117968638_20230112-09:54:,0.029915,2.9915,76,2.9903468277945615,2.989315660685155,09:54:59,0.0011531722054383131,1.0455537290395562,-1.591663604600946e-05,-0.02665714219536876
2023-01-12 09:55:53,2023-01-12 09:55:53,PATRe1063033570628497408,0.02991,2.991,54,2.9905462783171517,2.9899290429042904,09:55:53,0.00045372168284840697,0.6915040195593705,-0.000147011375635131,-0.23848280495936047
2023-01-12 09:55:54,2023-01-12 09:55:54,220220_168300813_20230112-09:55:,0.029905,2.9905,1,2.9905461290322575,2.9899299835255353,09:55:54,-4.612903225753584e-05,-0.5478120592994944,0.0001519488325167906,0.045679496360405074
2023-01-12 09:56:47,2023-01-12 09:56:47,PATRe1063033796835700737,0.0299,2.99,53,2.9905532679738562,2.9901918469217974,09:56:47,-0.0005532679738560198,-1.9445443725782174,0.0001509120882313919,0.05161924911580895
2023-01-12 09:56:47,2023-01-12 09:56:47,PATRe1063033795518689281,0.02991,2.991,0,2.9905532679738562,2.9901918469217974,09:56:47,0.0004467320261438701,0.8318500081573772,9.918529084571582e-05,0.04610044430251837
2023-01-12 09:56:51,2023-01-12 09:56:51,220220_235410142_20230112-09:56:,0.029915,2.9915,4,2.9905785478547853,2.990221797004992,09:56:51,0.0009214521452145519,1.814237228373997,0.0001441190797792924,0.05889776156262823
2023-01-12 09:57:17,2023-01-12 09:57:17,PATRe1063033922216030209,0.0299,2.99,26,2.990576644736842,2.9902521035598704,09:57:17,-0.0005766447368418248,-1.683502923641447,0.00023652745219546745,0.3209787032190524
2023-01-12 09:57:51,2023-01-12 09:57:51,220220_302519350_20230112-09:57:,0.029908,2.9908,34,2.9906705298013243,2.990280674846626,09:57:51,0.00012947019867581844,-0.09213676169105894,0.00017912356483047455,0.14459961581110448
2023-01-12 09:58:20,2023-01-12 09:58:20,ICAP2202207000589176,0.029925,2.9925,29,2.990876038338658,2.9904545454545457,09:58:20,0.0016239616613420438,2.6714318907536843,0.00019233117101724595,0.15007136912964464
