ts_date,Id,create_time,Yield,price,ts_lag,twap_roll_5Min,twap_roll_10,time,diff,zcore-10,mean,zcore-no-shift-10,mean2-no-shift-,zcore2-10-15
2023-01-13 16:02:59,220220_50920188_20230113-16:02:5,2023-01-13 16:02:59,0.029925,2.9925,63,3.0151837060702875,3.0100810372771476,16:02:59,0.9924768411209507,-16.473225375735083,1.0041796974901502,-2.945529556905685,1.002942020359323,-0.39545281049034897
2023-01-13 16:04:59,220220_168361528_20230113-16:04:,2023-01-13 16:04:59,0.03012,3.012,120,3.0111942675159233,3.0099210963455145,16:04:59,1.0002675790442246,-0.7527483058242489,1.002942020359323,-0.6206872646858098,1.0024860532597581,-0.21987181460021626
2023-01-13 16:05:57,220220_235405391_20230113-16:05:,2023-01-13 16:05:57,0.03015,3.015,58,3.0100856697819314,3.0095949263502453,16:05:57,1.0016326213793194,-0.23877415196272023,1.0024860532597581,-0.16183060186601422,1.0022018326702322,-0.2560808616236683
2023-01-13 16:09:45,220220_487064803_20230113-16:09:,2023-01-13 16:09:45,0.030125,3.0125,228,3.012709359605911,3.0120583333333335,16:09:45,0.9999305078648748,-0.6457529324387595,1.0022018326702322,-0.5230164718398629,1.0017594586389234,-0.27696772194500946
2023-01-13 16:11:18,TPSHe1063490436489973761,2023-01-13 16:11:18,0.030225,3.0225,93,3.015397196261682,3.0127414330218065,16:11:18,1.0023555118201752,0.1704505316986811,1.0017594586389234,0.22951009148819632,1.0015730233229378,-0.3071554203442962
2023-01-13 16:11:46,220220_604505933_20230113-16:11:,2023-01-13 16:11:46,0.0301,3.01,28,3.014964183381089,3.012626865671642,16:11:46,0.9983534851231559,-0.9443161265507082,1.0015730233229378,-0.771158417730104,1.000967209073887,-0.3176147130055621
2023-01-13 16:14:55,220220_805833336_20230113-16:14:,2023-01-13 16:14:55,0.029925,2.9925,189,3.00308064516129,3.008540502793296,16:14:55,0.9964767362547063,-1.3248782118443607,1.000967209073887,-1.0805623397869013,1.0001823232593998,-0.3611281294079003
2023-01-13 16:16:49,220220_923274498_20230113-16:16:,2023-01-13 16:16:49,0.02995,2.995,114,2.993440594059406,3.0049616564417176,16:16:49,1.0005209410013642,0.09874213696426143,1.0001823232593998,0.22273874776418207,0.9998154745846719,-0.40657288097095556
2023-01-13 16:18:31,TPSHe1063492251415646209,2023-01-13 16:18:31,0.030225,3.0225,102,3.000759259259259,3.007334217506631,16:18:31,1.007245079948902,2.345768637676125,0.9998154745846719,1.9152218922932271,1.000145853607041,-0.4474981354627864
2023-01-13 16:18:31,TPSHe1063492251407257604,2023-01-13 16:18:31,0.030225,3.0225,0,3.000759259259259,3.007334217506631,16:18:31,1.007245079948902,1.9152218922932271,1.000145853607041,1.5499193793706607,1.0006504383506574,-0.37858263261697533
2023-01-13 16:18:37,ICAP2202207000590812,2023-01-13 16:18:37,0.030225,3.0225,6,3.0010766423357667,3.007453947368421,16:18:37,1.0071385573303984,1.5248836790524098,1.0006504383506574,1.3676771291270649,1.0021166099716023,-0.27671093572682864
2023-01-13 16:18:43,BGC22022011009461264,2023-01-13 16:18:43,0.030225,3.0225,6,3.0013848920863313,3.0075718015665798,16:18:43,1.0070351216764442,1.339507463429217,1.0021166099716023,1.0915123415881745,1.0027933642348243,0.057574572625341734
2023-01-13 16:18:46,PATRe1063492314814509057,2023-01-13 16:18:46,0.030225,3.0225,3,3.001535714285714,3.0076300390117034,16:18:46,1.0069845198291352,1.0784911960830168,1.0027933642348243,0.9017483746177326,1.0033285540798058,0.17457323102171463
2023-01-13 16:18:46,PATRe1063492314772566017,2023-01-13 16:18:46,0.030225,3.0225,0,3.001535714285714,3.0076300390117034,16:18:46,1.0069845198291352,0.9017483746177326,1.0033285540798058,0.7348503285231621,1.0040339552762318,0.249398954915268
2023-01-13 16:18:50,TPSHe1063492331350691844,2023-01-13 16:18:50,0.030225,3.0225,4,3.0017334905660373,3.0077069857697283,16:18:50,1.0069181722825256,0.7183261971074285,1.0040339552762318,0.5983781507110304,1.004490221322467,0.354159573553252
2023-01-13 16:20:25,ICAP2202207000590821,2023-01-13 16:20:25,0.03025,3.025,95,3.013719696969697,3.00856640625,16:20:25,1.0037429834770781,-0.18415973280375708,1.004490221322467,-0.364326205411925,1.0050291711578592,0.3745855521176994
2023-01-13 16:20:25,ICAP2202207000590822,2023-01-13 16:20:25,0.03025,3.025,0,3.013719696969697,3.00856640625,16:20:25,1.0037429834770781,-0.364326205411925,1.0050291711578592,-0.9200442561655355,1.0057557958800962,0.4101933400024365
2023-01-13 16:20:29,BGC22022011009461422,2023-01-13 16:20:29,0.03025,3.025,4,3.013854790419162,3.0086684782608697,16:20:29,1.0036979915609299,-0.9406097862487275,1.0057557958800962,-1.5436029997406278,1.0060735009360529,0.5608460275352009
2023-01-13 16:20:29,BGC22022011009461403,2023-01-13 16:20:29,0.03025,3.025,0,3.013854790419162,3.0086684782608697,16:20:29,1.0036979915609299,-1.5436029997406278,1.0060735009360529,-1.2368125289983802,1.0057187920972557,0.6190664632766081
2023-01-13 16:20:29,BGC22022011009461430,2023-01-13 16:20:29,0.03025,3.025,0,3.013854790419162,3.0086684782608697,16:20:29,1.0036979915609299,-1.2368125289983802,1.0057187920972557,-1.0103750429477647,1.0053640832584585,0.4685243161142739
2023-01-13 16:20:30,TPSHe1063492748692328449,2023-01-13 16:20:30,0.03025,3.025,1,3.0138880597014928,3.0086937984496127,16:20:30,1.0036869120811367,-1.0170940187931354,1.0053640832584585,-0.8314618663680698,1.005018918733532,0.3396111885772121
2023-01-13 16:20:30,TPSHe1063492748629413889,2023-01-13 16:20:30,0.03025,3.025,0,3.0138880597014928,3.0086937984496127,16:20:30,1.0036869120811367,-0.8314618663680698,1.005018918733532,-0.6684796655605348,1.0046840977740015,0.14620609095240372
2023-01-13 16:20:30,TPSHe1063492748608442369,2023-01-13 16:20:30,0.03025,3.025,0,3.0138880597014928,3.0086937984496127,16:20:30,1.0036869120811367,-0.6684796655605348,1.0046840977740015,-0.5139003564696253,1.0043543369992016,-0.18896061816656673
2023-01-13 16:20:30,TPSHe1063492748654579713,2023-01-13 16:20:30,0.03025,3.025,0,3.0138880597014928,3.0086937984496127,16:20:30,1.0036869120811367,-0.5139003564696253,1.0043543369992016,-0.3499997780666073,1.0040245762244018,-0.5489590145674448
2023-01-13 16:20:30,TPSHe1063492748667162625,2023-01-13 16:20:30,0.03025,3.025,0,3.0138880597014928,3.0086937984496127,16:20:30,1.0036869120811367,-0.3499997780666073,1.0040245762244018,-0.6821053552821905,1.0037014502042632,-0.619884305695833
2023-01-13 16:20:30,TPSHe1063492748675551233,2023-01-13 16:20:30,0.03025,3.025,0,3.0138880597014928,3.0086937984496127,16:20:30,1.0036869120811367,-0.6821053552821905,1.0037014502042632,-0.5420546556897098,1.0036958430646687,-0.706803051091826
2023-01-13 16:20:33,PATRe1063492762011201540,2023-01-13 16:20:33,0.03025,3.025,3,3.013986686390533,3.008769290123457,16:20:33,1.0036540684334132,-2.5354579683773744,1.0036958430646687,-2.7336679199736045,1.0036869515603022,-0.6058651826263705
2023-01-13 16:20:33,PATRe1063492761331724289,2023-01-13 16:20:33,0.03025,3.025,0,3.013986686390533,3.008769290123457,16:20:33,1.0036540684334132,-2.7336679199736045,1.0036869515603022,-1.915006155731359,1.0036825592475505,-0.5070529408908717
2023-01-13 16:20:33,PATRe1063492761314947073,2023-01-13 16:20:33,0.03025,3.025,0,3.013986686390533,3.008769290123457,16:20:33,1.0036540684334132,-1.915006155731359,1.0036825592475505,-1.4962258530035533,1.003678166934799,-0.4015820757889318
2023-01-13 16:20:33,PATRe1063492761293975553,2023-01-13 16:20:33,0.03025,3.025,0,3.013986686390533,3.008769290123457,16:20:33,1.0036540684334132,-1.4962258530035533,1.003678166934799,-1.2247449411822038,1.0036737746220472,-0.2821372506855704
2023-01-13 16:20:37,TJXT230113052024000000000483,2023-01-13 16:20:37,0.03025,3.025,4,3.0141154970760238,3.0088688650306747,16:20:37,1.0036111764577487,-3.8904928028363623,1.0036737746220472,-2.292444795958177,1.0036662010597086,-0.5206094292729275
2023-01-13 16:20:38,TJXT230113052024000000000486,2023-01-13 16:20:38,0.0303,3.03,1,3.0141618075801753,3.0089012251148546,16:20:38,1.0052545926300287,66.17585333874965,1.0036662010597086,2.9965251507713107,1.0038229691145977,-0.4429668195571337
2023-01-13 16:20:38,TJXT230113052024000000000485,2023-01-13 16:20:38,0.03025,3.025,0,3.0141618075801753,3.0089012251148546,16:20:38,1.003595756668593,-0.4755774138122915,1.0038229691145977,-0.4533033505718523,1.0038138535733432,0.10924932246233683
2023-01-13 16:20:38,TJXT230113052024000000000484,2023-01-13 16:20:38,0.03025,3.025,0,3.0141618075801753,3.0089012251148546,16:20:38,1.003595756668593,-0.4533033505718523,1.0038138535733432,-0.43151246982541097,1.003804738032089,0.10284370713667026
2023-01-13 16:20:40,BGC22022011009461438,2023-01-13 16:20:40,0.03025,3.025,2,3.0142246376811594,3.0089503816793894,16:20:40,1.0035748371850381,-0.4747077953088671,1.003804738032089,-0.44797873797528986,1.0037935305424792,0.09654078035518629
2023-01-13 16:20:46,220220_1174934164_20230113-16:20,2023-01-13 16:20:46,0.030045,3.0045,6,3.014058404558405,3.008909984871407,16:20:46,0.9968287261640488,-14.266936646828823,1.0037935305424792,-2.921981095556666,1.0031077119507703,0.08846127469090095
2023-01-13 16:21:17,ICAP2202207000590828,2023-01-13 16:21:17,0.030275,3.0275,31,3.015149214659686,3.009742774566474,16:21:17,1.0040962434894645,0.460021819850952,1.0031077119507703,0.43634163711108814,1.0031519294563753,-0.10872891092845827
2023-01-13 16:21:36,BGC22022011009461479,2023-01-13 16:21:36,0.03026,3.026,19,3.0156633416458853,3.0083228155339805,16:21:36,1.003427656599252,0.12740595681413777,1.0031519294563753,0.13813536214873012,1.0031292882729592,-0.09870337456182948
2023-01-13 16:22:58,220220_1309153056_20230113-16:22,2023-01-13 16:22:58,0.030075,3.0075,82,3.020233062330623,3.0081525297619045,16:22:58,0.9957840795502061,-3.400605820271046,1.0031292882729592,-2.1374865332035187,1.0023422893846385,-0.10183712987586814
2023-01-13 16:23:42,220220_1376262275_20230113-16:23,2023-01-13 16:23:42,0.02985,2.985,44,3.0143475409836067,3.0067297486033517,16:23:42,0.9902640486590905,-3.9366042788235287,1.0023422893846385,-2.2876820133965605,1.0010032874072063,-0.17105419961947152
2023-01-13 16:24:43,220220_1426594310_20230113-16:24,2023-01-13 16:24:43,0.03025,3.025,61,3.015888101983003,3.0081640926640927,16:24:43,1.003021298439755,0.4298784718616564,1.0010032874072063,0.4452446491180238,1.000944299605407,-0.2196633154935489
2023-01-13 16:25:45,220220_1493703444_20230113-16:25,2023-01-13 16:25:45,0.02985,2.985,62,3.0063065573770493,3.0105092307692307,16:25:45,0.9929127130016844,-1.7217250679670733,1.000944299605407,-1.364115576053619,0.9997101116425725,-0.2241990663390159
2023-01-13 16:26:55,BGC22022011009461633,2023-01-13 16:26:55,0.03025,3.025,70,3.007210031347962,3.0151006600660066,16:26:55,1.0059157719170229,1.2453643352847195,0.9997101116425725,1.1471326906634718,0.9999421131674155,-0.31165253757894307
2023-01-13 16:26:55,BGC22022011009461628,2023-01-13 16:26:55,0.03025,3.025,0,3.007210031347962,3.0151006600660066,16:26:55,1.0059157719170229,1.1471326906634718,0.9999421131674155,1.060772469636611,1.0001741146922585,-0.28643708621658664
2023-01-13 16:27:00,TPSHe1063494385070673924,2023-01-13 16:27:00,0.03025,3.025,5,3.0074845679012343,3.0151816693944355,16:27:00,1.005823947456192,1.0438078797498445,1.0001741146922585,0.9699360470573407,1.0003990257193738,-0.2628745143379646
2023-01-13 16:27:02,UEDAe1063494393047314433,2023-01-13 16:27:02,0.03025,3.025,2,3.007592024539877,3.0152137030995108,16:27:02,1.005788010913078,0.9635108578538711,1.0003990257193738,0.7929162778365998,1.0012949541942766,-0.24118253160506847
2023-01-13 16:27:03,ICAP2202207000590842,2023-01-13 16:27:03,0.03025,3.025,1,3.007645259938838,3.015229641693811,16:27:03,1.0057702084392475,0.789774570048483,1.0012949541942766,0.7465249397342348,1.001462350689255,-0.08559490615896731
2023-01-13 16:27:05,ICAP2202207000590843,2023-01-13 16:27:05,0.030275,3.0275,2,3.0077659574468085,3.0152694805194806,16:27:05,1.0065610299579104,0.883569387536957,1.001462350689255,0.8041234406631268,1.0017756880251212,-0.058496736321575565
2023-01-13 16:27:09,PATRe1063494422078976001,2023-01-13 16:27:09,0.03025,3.025,4,3.007972972972973,3.0153322580645163,16:27:09,1.0056606316546115,0.6528215291623232,1.0017756880251212,0.5093293309911742,1.0027633432355614,-0.034454848345646515
2023-01-13 16:27:09,PATRe1063494422095753217,2023-01-13 16:27:09,0.03025,3.025,0,3.007972972972973,3.0153322580645163,16:27:09,1.0056606316546115,0.5093293309911742,1.0027633432355614,0.34817927825435585,1.0043030015351135,0.12987701045566988
2023-01-13 16:27:37,TPSHe1063494542474514433,2023-01-13 16:27:37,0.03025,3.025,28,3.0092936288088645,3.01575,16:27:37,1.005219288354175,0.2349919015149699,1.0043030015351135,0.17938243991044187,1.0045228005265554,0.3949104241930092
2023-01-13 16:27:52,PATRe1063494603650396161,2023-01-13 16:27:52,0.03025,3.025,15,3.0099202127659574,3.0159592760180995,16:27:52,1.0050100288938173,0.1254870650241238,1.0045228005265554,-1.8279883781729118,1.0057325321157689,0.3406734414173227
2023-01-13 16:27:58,220220_1611144646_20230113-16:27,2023-01-13 16:27:58,0.0301,3.01,6,3.0105833333333334,3.0159058295964125,16:27:58,0.9998062391009493,-14.993974320939108,1.0057325321157689,-2.9296884539494976,1.0051215788341614,0.5639905458554437
2023-01-13 16:28:07,PATRe1063494667412205569,2023-01-13 16:28:07,0.0303,3.03,9,3.0111488673139157,3.0160929203539824,16:28:07,1.0062604452708113,0.6277160101725768,1.0051215788341614,0.6027564702925781,1.0051560461695404,0.48674405451784036
2023-01-13 16:28:15,TPSHe1063494701052760066,2023-01-13 16:28:15,0.03025,3.025,8,3.0114984227129336,3.016196793002915,16:28:15,1.0044833419752892,-0.367146989898142,1.0051560461695404,-0.29474138458381777,1.0050219856214502,0.3778409215318152
2023-01-13 16:28:23,TPSHe1063494736297496578,2023-01-13 16:28:23,0.03025,3.025,8,3.011830769230769,3.016298270893372,16:28:23,1.004372500242633,-0.35539307143769683,1.0050219856214502,-0.27947021008205086,1.0048804345544056,0.2233118067974961
2023-01-13 16:28:33,TPSHe1063494776684449796,2023-01-13 16:28:33,0.03025,3.025,10,3.0122238805970145,3.0153920265780734,16:28:33,1.0042414242464783,-0.3515894493872149,1.0048804345544056,-0.2700082046172875,1.0047275561351288,0.15668284656938
2023-01-13 16:28:35,PATRe1063494785179873284,2023-01-13 16:28:35,0.03025,3.025,2,3.012299703264095,3.0154238410596026,16:28:35,1.0042161464618355,-0.28404803497494746,1.0047275561351288,-0.16327475936752428,1.004493067785521,-0.2380387675909895
2023-01-13 16:28:42,ICAP2202207000590845,2023-01-13 16:28:42,0.03025,3.025,7,3.0166,3.015464462809917,16:28:42,1.0027845919246834,-1.0073293791571303,1.004493067785521,-0.827344833018418,1.0042054638125284,-0.3159798066288912
2023-01-13 16:28:48,220220_1678253879_20230113-16:28,2023-01-13 16:28:48,0.03023,3.023,6,3.0167254901960785,3.0154343853820595,16:28:48,1.0020799074441187,-1.2376682892645146,1.0042054638125284,-1.0101965990624364,1.0038473913914792,-0.35088528177711775
2023-01-13 16:29:03,220220_1745363077_20230113-16:29,2023-01-13 16:29:03,0.030145,3.0145,15,3.0166214953271027,3.0153654159869494,16:29:03,0.9992967313498267,-2.600906958409337,1.0038473913914792,-1.8469960366959406,1.0032551356910444,-0.3924106392296667
2023-01-13 16:32:38,PATRe1063495802231484420,2023-01-13 16:32:38,0.03025,3.025,215,3.0242873754152826,3.0161110271903326,16:32:38,1.000235633885361,-1.4089030293902884,1.0032551356910444,-1.140391039425246,1.0027776961901986,-0.3942863887295333
2023-01-13 16:32:48,220220_1929918739_20230113-16:32,2023-01-13 16:32:48,0.03025,3.025,10,3.0243102893890677,3.0162433035714287,16:32:48,1.0002280555052014,-1.1437907660216233,1.0027776961901986,-1.1911819149692473,1.0028198778306239,-0.4155933963138622
2023-01-13 16:32:52,PATRe1063495863850004481,2023-01-13 16:32:52,0.03025,3.025,4,3.0242850000000003,3.016295118343195,16:32:52,1.0002364195173403,-1.1873378783241821,1.0028198778306239,-1.0089753605183964,1.0022174752552766,-0.2100202089647145
2023-01-13 16:33:14,TJXT230113052024000000000513,2023-01-13 16:33:14,0.03025,3.025,22,3.0244478827361565,3.0177767857142856,16:33:14,1.0001825514226894,-1.0364110248361815,1.0022174752552766,-0.8492813545526686,1.0017873962000166,-0.3108697094960242
2023-01-13 16:33:14,TJXT230113052024000000000512,2023-01-13 16:33:14,0.03025,3.025,0,3.0244478827361565,3.0177767857142856,16:33:14,1.0001825514226894,-0.8492813545526686,1.0017873962000166,-0.6864265531575551,1.0013684013180224,-0.34245323395940247
2023-01-13 16:33:29,TJXT230113052024000000000514,2023-01-13 16:33:29,0.03025,3.025,15,3.0244460784313727,3.0179484944532486,16:33:29,1.0001831481052275,-0.6860811648082102,1.0013684013180224,-0.5334455923096919,1.0009625737038972,-0.38572875626063685
2023-01-13 16:33:31,TJXT230113052024000000000515,2023-01-13 16:33:31,0.03025,3.025,2,3.0244496753246755,3.017970774091627,16:33:31,1.0001819586154184,-0.5342596893791772,1.0009625737038972,-0.38210461530046325,1.0005591549192556,-0.43730593221836067
2023-01-13 16:33:43,220220_1997028722_20230113-16:33,2023-01-13 16:33:43,0.030252,3.0252,12,3.0244448504983388,3.0205289517470884,16:33:43,1.0002496820206646,-0.3134999512431041,1.0005591549192556,-0.08591916541303568,1.0003056639288537,-0.6396690747542524
2023-01-13 16:34:00,TJXT230113052024000000000516,2023-01-13 16:34:00,0.03025,3.025,17,3.024502884615385,3.020651941747573,16:34:00,1.000164362674985,-0.2168644513366729,1.0003056639288537,0.1834422896304519,1.0001141094519403,-0.6637802577992162
2023-01-13 16:34:07,TJXT230113052024000000000517,2023-01-13 16:34:07,0.03025,3.025,7,3.025007894736842,3.02070064,16:34:07,0.9999973901764502,-0.4260672220149136,1.0001141094519403,-2.727836901448635,1.0001841753346026,-0.6650959943162379
2023-01-13 16:34:29,ICAP2202207000590847,2023-01-13 16:34:29,0.03025,3.025,22,3.02500736196319,3.020846831530139,16:34:29,0.9999975662990832,-2.7252647815740123,1.0001841753346026,-1.9003371385618084,1.0001603685759748,-0.512109434195425
2023-01-13 16:35:22,220220_2114470712_20230113-16:35,2023-01-13 16:35:22,0.030125,3.0125,53,3.023258311345647,3.0197580594679185,16:35:22,0.9964414845713735,-43.40930313065357,1.0001603685759748,-2.991769368189913,0.9997817114825921,-0.41360365926334114
2023-01-13 16:36:59,TPSHe1063496898784169988,2023-01-13 16:36:59,0.030275,3.0275,97,3.02412268907563,3.0239617549668876,16:36:59,1.0011167903129625,1.1958013796625149,0.9997817114825921,1.055327936226363,0.9998697485621545,-0.2938657426330565
2023-01-13 16:39:21,BGC22022011009462004,2023-01-13 16:39:21,0.03025,3.025,142,3.023662420382166,3.02432427184466,16:39:21,1.0004423706855692,0.48459012968027626,0.9998697485621545,0.45894735625835253,0.9998957304884424,-0.16126665949336888
2023-01-13 16:39:32,220220_218649625_20230113-16:39:,2023-01-13 16:39:32,0.03025,3.025,11,3.023613861386139,3.0243360890302067,16:39:32,1.000458437709776,0.4724368843271604,0.9998957304884424,0.4457258876375897,0.999923319117151,-0.046814452043492334
2023-01-13 16:39:39,TPSHe1063497571378565121,2023-01-13 16:39:39,0.030275,3.0275,7,3.023701612903226,3.0243709119496853,16:39:39,1.001256204342573,1.110223898792023,0.999923319117151,0.9686860608436737,1.0000306247408857,-0.09756726207259009
2023-01-13 16:39:39,TPSHe1063497571370176516,2023-01-13 16:39:39,0.030275,3.0275,0,3.023701612903226,3.0243709119496853,16:39:39,1.001256204342573,0.9686860608436737,1.0000306247408857,0.8483783893372897,1.000138049313601,-0.05529946704609068
2023-01-13 16:42:55,220220_419977605_20230113-16:42:,2023-01-13 16:42:55,0.03015,3.015,196,3.0195435393258427,3.021086069651741,16:42:55,0.9984952893486487,-1.2464121852720105,1.000138049313601,-1.044114143036844,0.9999626100463994,-0.017115761372215012
2023-01-13 16:43:44,PATRe1063498598439743489,2023-01-13 16:43:44,0.030275,3.0275,49,3.0205061728395064,3.0212728785357736,16:43:44,1.0023154487229267,1.6742298682299372,0.9999626100463994,1.3579572646797604,1.0001777186511935,-0.06747811544588728
2023-01-13 16:43:44,PATRe1063498598427160577,2023-01-13 16:43:44,0.030275,3.0275,0,3.0205061728395064,3.0212728785357736,16:43:44,1.0023154487229267,1.3579572646797604,1.0001777186511935,1.1234302637476645,1.0004095245058413,-0.0037915560380102015
2023-01-13 16:43:44,PATRe1063498598393606145,2023-01-13 16:43:44,0.030275,3.0275,0,3.0205061728395064,3.0212728785357736,16:43:44,1.0023154487229267,1.1234302637476645,1.0004095245058413,0.9401779638458383,1.0006413127482257,0.060909333405688965
2023-01-13 16:43:44,PATRe1063498598347468801,2023-01-13 16:43:44,0.030275,3.0275,0,3.0205061728395064,3.0212728785357736,16:43:44,1.0023154487229267,0.9401779638458383,1.0006413127482257,0.9380554620426774,1.001228709163381,0.11815081637402831
2023-01-13 16:43:57,220220_487086924_20230113-16:43:,2023-01-13 16:43:57,0.030275,3.0275,13,3.0207236842105267,3.021404723127036,16:43:57,1.0022432756179895,0.8757568416380359,1.001228709163381,0.7539264235035514,1.0013413576938837,0.4015606078021055
2023-01-13 16:44:20,ICAP2202207000590866,2023-01-13 16:44:20,0.030275,3.0275,23,3.021077097505669,3.021492659053834,16:44:20,1.0021260306463657,0.655919631790508,1.0013413576938837,0.5239662728638536,1.0015097236899633,0.3766116277398607
2023-01-13 16:44:31,BGC22022011009462118,2023-01-13 16:44:31,0.030275,3.0275,11,3.0195080645161294,3.021474252491694,16:44:31,1.002646767391612,0.9666815281687717,1.0015097236899633,0.7889837440886108,1.0017285566581469,0.39342960586664594
2023-01-13 16:44:31,BGC22022011009462123,2023-01-13 16:44:31,0.030275,3.0275,0,3.0195080645161294,3.021474252491694,16:44:31,1.002646767391612,0.7889837440886108,1.0017285566581469,0.6591963170336697,1.0018676129630508,0.409656458738885
2023-01-13 16:44:41,220220_537419049_20230113-16:44:,2023-01-13 16:44:41,0.03015,3.015,10,3.018973509933775,3.0213684640522875,16:44:41,0.9986838208680201,-2.693617524732441,1.0018676129630508,-1.926712584274234,1.0016103746155953,0.3824936918503117
2023-01-13 16:44:44,UEDAe1063498848098611201,2023-01-13 16:44:44,0.030275,3.0275,3,3.0190573770491804,3.02139837398374,16:44:44,1.0027964433584469,0.7808548107342251,1.0016103746155953,0.6649438737996349,1.0020404900165754,0.18032254134729855
2023-01-13 16:45:31,ICAP2202207000590869,2023-01-13 16:45:31,0.030275,3.0275,47,3.020184659090909,3.0226436781609194,16:45:31,1.0024221502109387,0.3357119997469816,1.0020404900165754,0.3254597949826154,1.0020511601653765,0.41065480401352195
2023-01-13 16:45:31,TPSHe1063499044971778049,2023-01-13 16:45:31,0.030275,3.0275,0,3.020184659090909,3.0226436781609194,16:45:31,1.0024221502109387,0.3254597949826154,1.0020511601653765,0.3152915939650385,1.0020618303141777,0.3234239993356707
2023-01-13 16:45:31,TPSHe1063499044963389444,2023-01-13 16:45:31,0.030275,3.0275,0,3.020184659090909,3.0226436781609194,16:45:31,1.0024221502109387,0.3152915939650385,1.0020618303141777,0.3052036691195727,1.0020725004629791,0.23763467735663502
2023-01-13 16:45:43,TJXT230113052024000000000522,2023-01-13 16:45:43,0.030275,3.0275,12,3.020425824175824,3.0227375201288247,16:45:43,1.0023421120848437,0.23533966979965706,1.0020725004629791,0.2328916754633469,1.0020751667991707,0.18603608395120588
